-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::sub         0.17%     781.511us         0.29%       1.356ms      23.387us      62.625us         0.01%      62.625us       1.080us            58  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      62.625us         0.01%      62.625us       1.080us            58  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      58.532us         0.01%      58.532us       1.009us            58  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      57.277us         0.01%      57.277us       2.046us            28  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      39.747us         0.01%      39.747us       0.685us            58  
                                        cudaGraphLaunch         4.03%      19.061ms         4.45%      21.004ms     184.242us      34.304us         0.01%      34.304us       0.301us           114  
                               cudaEventRecordWithFlags         0.05%     226.697us         0.05%     226.697us       1.954us      31.455us         0.01%      31.455us       0.271us           116  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us      27.841us         0.01%      27.841us       0.994us            28  
                                       cuLaunchKernelEx         0.13%     610.494us         0.13%     610.494us      10.526us      27.360us         0.01%      27.360us       0.472us            58  
                                        cudaEventRecord         0.05%     231.824us         0.05%     231.824us       1.981us      11.392us         0.00%      11.392us       0.097us           117  
                                    cudaStreamWaitEvent         0.02%      85.834us         0.02%      85.834us       1.480us       8.831us         0.00%       8.831us       0.152us            58  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.648us         0.00%       7.648us       3.824us             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       7.552us         0.00%       7.552us       0.944us             8  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       7.552us         0.00%       7.552us       1.888us             4  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       4.799us         0.00%       4.799us       0.960us             5  
                                         aten::scatter_         0.01%      24.986us         0.01%      42.984us      21.492us       4.128us         0.00%       4.128us       2.064us             2  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       4.128us         0.00%       4.128us       2.064us             2  
                   execute_context_0(0)_generation_8(8)         9.79%      46.265ms        23.31%     110.153ms       2.118ms       0.000us         0.00%      58.611ms       1.127ms            52  
                                Activity Buffer Request         0.91%       4.290ms         1.04%       4.900ms       1.633ms       0.000us         0.00%       1.242ms     414.059us             3  
                                            aten::slice         0.92%       4.355ms         1.18%       5.565ms       1.970us       0.000us         0.00%       0.000us       0.000us          2825  
                                       aten::as_strided         0.40%       1.873ms         0.40%       1.873ms       0.478us       0.000us         0.00%       0.000us       0.000us          3916  
                                        cudaMemcpyAsync         2.06%       9.740ms         2.06%       9.740ms      13.641us       0.000us         0.00%       0.000us       0.000us           714  
