-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  _C_cache_ops::reshape_and_cache_flash         0.09%     502.769us         0.17%       1.003ms      17.903us     130.625us         0.02%     130.625us       2.333us            56  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us     128.285us         0.02%     128.285us       1.350us            95  
                                               aten::eq         0.34%       1.975ms         0.55%       3.186ms      32.515us     126.402us         0.02%     126.402us       1.290us            98  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     126.402us         0.02%     126.402us       1.303us            97  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     124.321us         0.02%     124.321us       1.269us            98  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     111.583us         0.02%     111.583us       1.139us            98  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us     105.344us         0.02%     105.344us       1.075us            98  
                                              aten::sub         0.23%       1.350ms         0.42%       2.409ms      24.581us     104.059us         0.02%     104.059us       1.062us            98  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     104.059us         0.02%     104.059us       1.062us            98  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      73.820us         0.01%      73.820us       0.753us            98  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us      53.727us         0.01%      53.727us       0.959us            56  
                                        cudaEventRecord         0.09%     502.606us         0.09%     502.606us       2.538us      46.494us         0.01%      46.494us       0.235us           198  
                               cudaEventRecordWithFlags         0.06%     348.800us         0.06%     348.800us       1.780us      43.488us         0.01%      43.488us       0.222us           196  
